cbsa_code,cbsa,top5_80,top5_90,top5_00,top5_10,top5_20
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Virginia Highland | Inman Park | Midtown | Downtown | Druid Hills,Grant Park | Candler Park | Old Fourth Ward | East Atlanta | Druid Hills,Downtown | Kirkwood | Grant Park | Old Fourth Ward | East Lake,Mechanicsville | Edgewood | Downtown | Old Fourth Ward | Atlanta University Center,Pittsburgh | Chosewood Park | Downtown | South River Gardens | Hammond Park
12100,"Atlantic City-Hammonton, NJ",,,,,
12120,"Atmore, AL",,,,,
12140,"Auburn, IN",,,,,
12180,"Auburn, NY",,,,,
12220,"Auburn-Opelika, AL",,,,,
12260,"Augusta-Richmond County, GA-SC",Lake Aumond | Jamestown | West Side | Southside | Meadowbrook,Central Bus Dist | Southside | West Side | Lake Aumond | Meadowbrook,Richmond Hill | Southside | West Side | Lake Aumond | Meadowbrook,Industrial District | Southside | West Side | Lake Aumond | Meadowbrook,Richmond Hill | May Park | West End | Laney Walker | Meadowbrook
12300,"Augusta-Waterville, ME",,,,,
12380,"Austin, MN",,,,,
12420,"Austin-Round Rock-Georgetown, TX",Rosedale | Hancock | RMMA | Upper Boggy Creek | North Austin,Zilker | Old West Austin | Allandale | Hyde Park | Brentwood,Bouldin | Hyde Park | Zilker | Triangle State | Brentwood,Windsor Park | Holly | Central East Austin | Wooten | MLK,MLK | Riverside | Heritage | Pleasant Valley | North Austin
12460,"Bainbridge, GA",,,,,
12540,"Bakersfield, CA",Spice Tract | Kern City | Olde Stockdale | Windsong | Stockdale West,Spice Tract | Kern City | Olde Stockdale | Windsong | Stockdale West,Downtown | Windsong | Olde Stockdale | Spice Tract | Stockdale West,Spice Tract | Kern City | Olde Stockdale | Windsong | Stockdale West,Lakeview | Downtown | Southgate | Windsong | Stockdale West
12580,"Baltimore-Columbia-Towson, MD",Otterbein | Mount Vernon | Old Town | Overlea | Belair-Edison,Coldspring | Dunbar-Broadway | Downtown | Fells Point | Riverside,Upper Fells Point | Canton | Sharp-Leadenhall | Inner Harbor | Port Covington,Upper Fells Point | Patterson Park | Port Covington | Sharp-Leadenhall | Dunbar-Broadway,Broadway East | Central Park Heights | Upton | Canton Industrial Area | Oliver
12620,"Bangor, ME",,,,,
12660,"Baraboo, WI",,,,,
12680,"Bardstown, KY",,,,,
12700,"Barnstable Town, MA",Osterville | Centerville | Barnstable | Cotuit | Hyannis,Osterville | Centerville | Barnstable | Cotuit | Hyannis,Osterville | Centerville | Barnstable | Cotuit | Hyannis,Osterville | Centerville | Barnstable | Cotuit | Hyannis,Osterville | Centerville | Barnstable | Cotuit | Hyannis
12740,"Barre, VT",South Barre,South Barre,South Barre,South Barre,South Barre
12780,"Bartlesville, OK",,,,,
12860,"Batavia, NY",,,,,
12900,"Batesville, AR",,,,,
12940,"Baton Rouge, LA",Fairwood | North Sherwood Forest | South Campus | Woodstone | Jones Creek,Mid City | Valley Park | Scotlandville | Woodstone | Jones Creek,Mid City | Woodstone | South Campus | Fairwood | Jones Creek,Fairwood | North Sherwood Forest | South Campus | Woodstone | Jones Creek,Scotlandville | Eden Park | Old South Baton Rouge | Woodstone | Jones Creek
12980,"Battle Creek, MI",Brownlee Park,Brownlee Park,Brownlee Park,Brownlee Park,Brownlee Park
13020,"Bay City, MI",,,,,
13060,"Bay City, TX",,,,,
13100,"Beatrice, NE",,,,,
13140,"Beaumont-Port Arthur, TX",Acorn | South C.A.N.A. | Old Town on the Oaks | Heart of the City | Tyrrell Park,Tyrrell Park | Acorn | South C.A.N.A. | Old Town on the Oaks | Heart of the City,Acorn | South C.A.N.A. | Old Town on the Oaks | Heart of the City | Tyrrell Park,Old Town on the Oaks | Heart of the City | South C.A.N.A. | Acorn | Tyrrell Park,North End | South Park | Acorn | Heart of the City | Tyrrell Park
13180,"Beaver Dam, WI",,,,,
13220,"Beckley, WV",,,,,
13260,"Bedford, IN",,,,,
13300,"Beeville, TX",,,,,
13340,"Bellefontaine, OH",,,,,
