cbsa_code,cbsa,ccity,x_ccity,y_ccity,ttract,tcc,tel70,tel80,tel90,tel00,tel12,tgent80,tgent90,tgent00,tgent12,tgent22,mamhi70,mamhi80,mamhi90,mamhi00,mamhi12,mamhi22,mamhv70,mamhv80,mamhv90,mamhv00,mamhv12,mamhv22,apctcol70,apctcol80,apctcol90,apctcol00,apctcol12,apctcol20,pop70,pop80,pop90,pop00,pop10,pop20,popchg80,popchg90,popchg00,popchg10,popchg20,nhwht70,nhwht80,nhwht90,nhwht00,nhwht10,nhwht20,cw80,cw90,cw00,cw10,cw20,nhblk70,nhblk80,nhblk90,nhblk00,nhblk10,nhblk20,cb80,cb90,cb00,cb10,cb20,asian70,asian80,asian90,asian00,asian10,asian20,ca80,ca90,ca00,ca10,ca20,hisp70,hisp80,hisp90,hisp00,hisp10,hisp20,ch80,ch90,ch00,ch10,ch20
33660,"Mobile, AL","Mobile, AL",-88.0399,30.6954,120,0,9,22,23,23,22,0,1,2,1,3,57906.251854999995,50834.625575,52299.66477,49633.18,45195.57,43559.5,104654.72034999999,123342.6739,107711.49859999999,124528.0,140301.0,130642.0,0.10923448925423729,0.1725670176875,0.199879104265625,0.227077639453125,0.24067153925,0.2590625,317013,364705,395275,417940,430573,430196,47697,13870,22665,12633,-377,213504,244261,263557,261437,255359,236970,30763,8344,-2121,-6078,-18398,102345,113568,122115,139008,149276,154600,9966,3920,16894,10268,5324,624,1243,3334,6375,8706,10487,436,2067,2985,2324,1746,322,3822,3214,5047,10087,13563,3500,-657,1773,5040,3465
21340,"El Paso, TX","El Paso, TX",-106.485,31.7619,162,119,20,37,34,27,36,3,4,4,0,5,56371.77199,49838.71924,53810.34959,53044.799484999996,43791.3,47969.0,99107.13924,124061.7464,122806.9976,106981.9134,124488.0,132968.0,0.13473911648958334,0.15844978167826088,0.16265198079831933,0.17351695375423729,0.20212526312605042,0.21526050420168066,359291,479896,594528,682966,804123,868859,120607,111715,88437,121157,64736,227705,157838,152263,116305,105874,99313,-69857,-6539,-35965,-10431,-6561,10046,17590,20531,20093,23040,28547,6413,2933,-481,2940,5495,2195,4050,5820,7967,10329,15303,1628,1761,1973,2351,4948,117564,297001,413557,534160,660902,717387,179437,114623,120609,126742,56484
46060,"Tucson, AZ","Tucson, AZ",-110.9747,32.2226,241,0,49,47,54,48,50,0,11,5,4,7,57023.51249,50266.12724,50983.88826,50570.57956,44489.97,51543.0,115102.8123,167466.0794,149706.50040000002,152908.0,183834.0,206483.0,0.15109808574747474,0.1898492243364486,0.21091194505357141,0.22935202058035714,0.24069766470535714,0.26776428571428573,351665,531443,666884,843745,980263,1043433,179776,135436,176861,126775,63170,298764,384928,454919,518721,541700,536868,86156,69985,63799,17323,-4832,10316,14669,19452,27877,37695,46405,3556,4691,8373,9367,8710,10711,4922,11228,21207,32445,42499,-5995,6128,9968,10895,10054,30508,111413,163255,247578,338802,372788,80905,51849,84323,88035,33986
41740,"San Diego-Chula Vista-Carlsbad, CA","San Diego, CA",-117.1611,32.7157,628,0,87,92,88,97,91,3,4,4,7,15,60511.49819,57213.0589,78731.31848,77593.07423,76886.46,96408.0,162152.78084999998,293629.0977,403802.2186,355008.0,498708.0,736400.0,0.13999161671621621,0.23326373855363322,0.29001398162857145,0.33632680885396826,0.391891324431746,0.42394634920634922,1340565,1833331,2476561,2813832,3095313,3298624,492775,643225,337262,281479,203311,1168106,1353575,1619366,1548829,1500047,1422204,185479,265802,-70537,-48784,-77843,60950,98857,145702,174416,173327,184696,34422,46801,28717,-1089,11369,32273,88164,184101,293425,395712,494380,53404,95929,109333,102287,98667,68613,272878,508735,750963,991348,1119625,204265,235844,242235,240385,128277
16700,"Charleston-North Charleston, SC","Charleston, SC",-79.9311,32.7765,156,69,16,28,28,22,19,1,2,5,0,3,56233.12118,50653.99794,60425.1302,61333.47945,55559.7,66932.0,132359.0096,153403.2289,158443.6671,161530.7664,239904.0,330676.0,0.11615850437288136,0.16812013723880598,0.201879653,0.25258396620289852,0.32730987637681158,0.36789130434782608,324478,420160,501112,549021,664607,799610,95678,80961,47908,115586,135003,217098,278303,335497,351429,420240,500539,61199,57193,15932,68811,80299,105391,130734,151100,170560,188039,193621,25340,20369,19439,17479,5582,1203,3847,5599,9100,14249,23753,2437,1737,3333,5149,9504,549,5914,7215,13095,35707,60464,5365,1296,5833,22612,24757
19100,"Dallas-Fort Worth-Arlington, TX","Dallas, TX",-96.797,32.7767,1312,671,169,192,231,260,267,5,16,8,17,26,68654.25921,59532.64124,70491.07772500001,71104.7989,58785.3,77401.0,122182.30015,148958.87965000002,187842.49495,156004.0,161217.0,276569.0,0.15231746552248393,0.22956605185420562,0.29051604209707244,0.2967662438817204,0.3033179286543779,0.32395376344086024,2371604,2957103,3984513,5156325,6366542,7637337,585499,963077,1171808,1208949,1270792,1981534,2246291,2793938,3038891,3197326,3266362,264189,493515,244941,157584,69035,330160,416447,551117,727339,982216,1286217,67280,121311,175892,250991,303992,10279,24524,94300,216226,376334,669948,11836,65633,121362,155615,293559,42523,249135,524457,1117565,1751878,2235211,206572,272173,593090,632348,483332
38060,"Phoenix-Mesa-Chandler, AZ","Phoenix, AZ",-112.074,33.4484,991,0,97,123,180,215,212,1,11,4,13,28,68443.80484,62145.9699,68506.33152,71106.52157,58015.44,70758.0,124312.5052,198756.32069999998,181826.9969,174580.0,191268.0,307300.0,0.12067157981099656,0.17361392528635347,0.21648871951412429,0.23665737366290018,0.26342563088888887,0.28536704331450097,967533,1599978,2238479,3251874,4192887,4845810,541523,638517,1013396,872956,644230,872867,1277216,1705962,2140167,2460541,2597569,351618,428771,434178,274953,131110,32847,50122,74298,127222,225946,325401,11537,22621,51884,82668,98920,15932,13405,34426,83356,170890,268526,-4440,19055,47922,75901,96941,41595,225762,379563,817002,1235718,1472934,157641,153663,437440,404075,235834
13820,"Birmingham-Hoover, AL","Birmingham, AL",-86.8104,33.5186,246,0,20,36,41,43,44,0,2,0,0,2,55233.07274,47200.72167,48504.03035,48426.6,40612.32,40183.0,98464.66623,107643.0737,101449.3871,107308.7982,107982.0,106600.0,0.11153354281818181,0.1773818673875,0.21451781998765432,0.23823330944444446,0.25924131213580248,0.28470370370370368,682965,845897,889169,981528,1061024,1115277,54663,26700,92356,79496,54253,468464,600068,631674,661344,673069,663000,32456,18571,29667,11725,-10069,212883,236847,248087,287051,317973,338284,15633,7487,38956,30922,20311,926,1976,3875,9056,16108,24242,902,1799,5106,7032,8104,463,5552,3921,17960,47223,64821,4517,-1697,14029,29263,17597
12060,"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta, GA",-84.388,33.749,951,157,79,81,85,76,53,5,5,13,28,9,58969.250205000004,42318.207995000004,52945.479445000004,61068.6,53446.05,88958.5,124008.16464999999,119924.16339999999,158841.81775,196251.9989,245196.0,441183.0,0.16383575437333334,0.23577109240666666,0.29232755904545454,0.35463254059740262,0.43447155559740258,0.458088961038961,1460700,2029717,3082316,4263452,5286728,6089825,362872,665777,1181138,1023276,802906,1129066,1493024,2190884,2576124,2684571,2661876,181469,389741,385245,108436,-22697,323984,494406,774468,1234650,1737348,2128945,147227,205840,459734,502698,391413,2746,11749,51089,148969,278025,440335,7717,37274,97693,129040,162264,4162,23385,58921,270652,547894,730453,17803,32784,211732,277242,182557
40140,"Riverside-San Bernardino-Ontario, CA","Riverside, CA",-117.3755,33.9806,822,0,45,59,81,70,65,6,0,12,3,12,61844.66799,62463.52031,77527.31118,68213.48,64704.78,79293.0,131724.1678,213926.7097,283523.0041,208292.0,270648.0,442600.0,0.10540707981871345,0.139551703455,0.15245813362331839,0.16196931350224214,0.18488934456502243,0.19249192825112107,1137146,1558188,2588815,3254777,4224851,4599729,420998,1030621,665978,957941,374874,989205,1143425,1616266,1541034,1546666,1354311,154225,472819,-75223,3327,-192356,50355,76692,169129,263591,336944,371864,25576,91989,94402,69871,34920,14105,24141,93722,164299,298585,405130,9987,69321,70558,134038,106543,73967,290287,686109,1228958,1996402,2373156,216320,395821,542844,761786,376747
17900,"Columbia, SC","Columbia, SC",-81.0348,34.0007,191,40,12,22,18,18,14,0,3,3,2,0,48519.204765,41400.512335,49214.73558,48133.34,44677.08,52786.5,116383.8857,109350.7191,128595.73999999999,137256.1024,162540.0,156750.5,0.18256160914705882,0.2552930360857143,0.3111164221388889,0.3443974315,0.40363314969444447,0.41212222222222222,322884,410089,548336,647160,767598,829435,87206,43247,98821,120438,61834,235310,283802,361544,403454,447927,452429,48483,20704,41916,44473,4501,84472,116763,174318,214317,259499,280514,32292,20317,40007,45182,21014,982,2876,4815,9457,15485,24019,1671,1789,4613,6017,8514,1637,5288,6427,15610,39153,55263,3651,665,9184,23543,16109
31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",-118.2437,34.0522,2929,0,450,486,490,493,450,7,13,57,33,84,64607.39775,57719.68442,74757.91127,69875.0,68206.32,84538.0,184402.032,299379.7632,489866.0,325768.0067,532224.0,710500.0,0.13145872088838709,0.18775127238005052,0.22870146886537257,0.25166358489480273,0.30575965019411394,0.33022442078897934,8432631,9406299,11266011,12365346,12828837,13200691,973666,1859731,1099308,449176,371804,6746846,5461169,5168241,4418329,4056820,3762156,-1285712,-294424,-749893,-367453,-294678,771753,950339,972541,1001845,932431,931514,172372,21741,29222,-72337,-973,237436,521583,1148149,1651755,2046118,2410530,282689,624491,503575,389126,364362,623887,2352217,3915425,5117779,5700862,5891480,1728330,1563017,1202336,575530,190597
37100,"Oxnard-Thousand Oaks-Ventura, CA","Oxnard, CA",-119.1771,34.1975,174,0,20,35,31,31,31,0,0,5,0,5,78594.65744,68473.646065,92107.762265,97712.34,93136.05,105375.0,173029.5625,302706.76355000003,525576.1459,386140.0,548982.0,717787.0,0.13904124958441558,0.18635167962365592,0.23124681890625,0.2716982299375,0.30489189620833335,0.32358333333333333,376499,528959,669374,753505,823318,843825,152471,140410,84132,69757,20507,328235,382953,440876,427711,400868,360847,54708,57923,-13163,-26883,-40021,6343,10781,14563,16059,16949,19671,4095,3654,1491,885,2624,6227,15969,32682,47807,65939,79321,9736,16714,15124,18129,13367,33220,113174,176967,251752,331567,365272,79954,63794,74783,79807,33705
32820,"Memphis, TN-MS-AR","Memphis, TN",-90.049,35.1495,312,167,38,61,70,81,82,1,2,4,3,2,60490.39753,51424.81184,54718.35005,53338.92,39569.04,42423.0,104039.1083,116199.7594,123488.0057,113520.0,108108.0,108743.0,0.10576990389781021,0.15828054135443037,0.19812599396363637,0.20697134298787878,0.21545187213333333,0.22770787878787879,770092,938754,1067261,1205205,1316100,1337780,56499,68555,137946,110895,21674,477603,550561,610992,625156,608449,552793,-7377,29751,14161,-16787,-55659,288906,373262,437636,526552,607230,627912,52342,35589,88915,80679,20680,2074,4124,8015,18084,28046,38760,1515,3729,9892,9937,10657,1082,8519,8447,28403,65395,94949,6431,-407,19929,36992,29515
16740,"Charlotte-Concord-Gastonia, NC-SC","Charlotte, NC",-80.8431,35.2271,545,264,61,81,93,102,102,0,4,11,6,16,68712.58994,59719.830525,72689.45811,72197.0,59671.08,71250.0,122518.1118,135047.51825,166504.4749,188856.005,178290.0,280900.0,0.12374880526041666,0.17185444082432433,0.23272070733969466,0.2904419005475285,0.31284578626615972,0.34883612167300382,827652,1095037,1365340,1742817,2243960,2660735,138487,196515,377476,501143,416718,660069,850953,1054133,1242732,1442333,1537822,93204,145606,188581,199601,95456,164262,226813,283282,369967,510820,615213,31278,41253,86686,140853,104387,2115,4036,11478,33886,68289,131877,1241,6947,21993,34286,63540,925,8273,11702,82720,203355,312230,6495,2789,70838,120536,108866
